provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
10001,Southeast Alabama Medical Center,Dothan,AL,1026,Dothan,AL,2,Dothan,AL
10005,Marshall Medical Center South,Boaz,AL,1012,Boaz,AL,1,Birmingham,AL
10006,Eliza Coffee Memorial Hospital,Florence,AL,1036,Florence,AL,1,Birmingham,AL
10007,Mizell Memorial Hospital,Opp,AL,1065,Opp,AL,2,Dothan,AL
10008,Crenshaw Community Hospital,Luverne,AL,1056,Luverne,AL,7,Montgomery,AL
10009,Hartselle Medical Center,Hartselle,AL,1049,Hartselle,AL,1,Birmingham,AL
10010,Marshall Medical Center North,Guntersville,AL,1046,Guntersville,AL,5,Huntsville,AL
10011,St. Vincent's East,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10012,DeKalb Regional Medical Center,Fort Payne,AL,1038,Fort Payne,AL,1,Birmingham,AL
10015,Southwest Alabama Medical Center,Thomasville,AL,1080,Thomasville,AL,6,Mobile,AL
10016,Shelby Baptist Medical Center,Alabaster,AL,1001,Alabaster,AL,1,Birmingham,AL
10018,Callahan Eye Foundation Hospital,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10019,Helen Keller Hospital,Sheffield,AL,1061,Muscle Shoals/Sheffield,AL,1,Birmingham,AL
10021,Dale Medical Center,Ozark,AL,1066,Ozark,AL,2,Dothan,AL
10022,Cherokee Medical Center,Centre,AL,1018,Centre,AL,148,Rome,GA
10023,Baptist Medical Center South,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10024,Jackson Hospital and Clinic,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10025,Lanier Health Services,Valley,AL,1084,Valley,AL,1,Birmingham,AL
10027,Elba General Hospital,Elba,AL,1027,Elba,AL,2,Dothan,AL
10029,East Alabama Medical Center,Opelika,AL,1064,Opelika,AL,1,Birmingham,AL
10032,Wedowee Hospital,Wedowee,AL,1086,Wedowee,AL,1,Birmingham,AL
10033,University of Alabama Hospital,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10034,Community Hospital,Tallassee,AL,1079,Tallassee,AL,7,Montgomery,AL
10035,Cullman Regional Medical Center,Cullman,AL,1022,Cullman,AL,1,Birmingham,AL
10036,Andalusia Regional Hospital,Andalusia,AL,1003,Andalusia,AL,134,Pensacola,FL
10038,Stringfellow Memorial Hospital,Anniston,AL,1004,Anniston,AL,1,Birmingham,AL
10039,Huntsville Hospital,Huntsville,AL,1051,Huntsville,AL,5,Huntsville,AL
10040,Gadsden Regional Medical Center,Gadsden,AL,1039,Gadsden,AL,1,Birmingham,AL
10043,Chilton Medical Center,Clanton,AL,1001,Alabaster,AL,1,Birmingham,AL
10044,North Mississippi Med Ctr-Hamilton,Hamilton,AL,1048,Hamilton,AL,262,Tupelo,MS
10045,Fayette Medical Center,Fayette,AL,1033,Fayette,AL,9,Tuscaloosa,AL
10046,Riverview Regional Med Ctr,Gadsden,AL,1039,Gadsden,AL,1,Birmingham,AL
10047,Georgiana Hospital,Georgiana,AL,1044,Greenville,AL,7,Montgomery,AL
10049,Medical Center Enterprise,Enterprise,AL,1028,Enterprise,AL,2,Dothan,AL
10050,St. Vincent's Blount,Oneonta,AL,1063,Oneonta,AL,1,Birmingham,AL
